Andrea:::Edo Fendy ft. Kerim - OiOiOi [24K]:::https://www.youtube.com/watch?v=fS8NMXPII4Q
Andrea:::Sfera Ebbasta - Tik Tok RMX (feat. Marracash, Gu Pequeno, Paky & Geolier):::https://www.youtube.com/watch?v=R_vhQyDkL1E
Andrea:::Dark Polo Gang, Tony Effe - AMIRI BOYS (prod Sick Luke) ft. Capo Plaza:::https://www.youtube.com/watch?v=AOxMrKX9Nxk
Andrea:::Look Back at It (feat. CAPO PLAZA):::https://www.youtube.com/watch?v=SsCaCNv3kxE
Andrea:::Kaleb Di Masi  Sfera Ebbasta  RVFV  Omar Varela - Hace Calor Remix (Video Oficial):::https://www.youtube.com/watch?v=k2XWLn5-Ydw
Andrea:::Wayne, DrefGold - Rimowa:::https://www.youtube.com/watch?v=BDhguKcPcAs
Andrea:::Charlie Charles - Bimbi ft. Izi, Rkomi, Sfera Ebbasta, Tedua, Ghali:::https://www.youtube.com/watch?v=l9WWa98S4OM
Andrea:::SAINT LAURENT - SUMMER 2021:::https://www.youtube.com/watch?v=PTHGxYPbdu0
Andrea:::Ketama126, Massimo Pericolo - SCACCIACANI (prod. Crookers & Nic Sarno) (Official Video):::https://www.youtube.com/watch?v=mmqcp_pn-9c
Andrea:::Lazza, Noyz Narcos - TOPBOY (Visual):::https://www.youtube.com/watch?v=JqQlq--70hI
Andrea:::Tion Wayne x Russ Millions - Body (Remix) [Feat. Capo Plaza & Rondodasosa]:::https://www.youtube.com/watch?v=5LGdhPpXcAk
Andrea:::Sfera Ebbasta - Notti (Prod. Charlie Charles):::https://www.youtube.com/watch?v=RlvYH-BYfsM
Andrea:::La zone:::https://www.youtube.com/watch?v=JgF70Z0LsQE
Andrea:::Tedua - Vertigini (Prod. Chris Nolan):::https://www.youtube.com/watch?v=SlPJEzx2N9w
Andrea:::Astro del cielo:::https://www.youtube.com/watch?v=3QHynuRJnZE
Andrea:::Marracash, Gu -  LOVE:::https://www.youtube.com/watch?v=RN4zhaQEa7I
Andrea:::Gu, DJ Harsh - Lifestyle (Official Video):::https://www.youtube.com/watch?v=n0YmcbgZJ5k
Andrea:::Ernia, Pinguini Tattici Nucleari - Ferma A Guardare:::https://www.youtube.com/watch?v=CrKFI6ktBp4
Andrea:::Paky - Star feat. Shiva (Prod. Drillionaire):::https://www.youtube.com/watch?v=YcQOMEKoUfM
Andrea:::Wayne Santana - Marmellata ft. Rosa Chemical, Tony Effe, Radical:::https://www.youtube.com/watch?v=2pkeycRoz-Q
Andrea:::DARK POLO GANG - CAVALLINI FT SFERA EBBASTA (Prod. Charlie Charles):::https://www.youtube.com/watch?v=pgdDLfvjAUA
Andrea:::Creed push up:::https://www.youtube.com/watch?v=mNrzmpA8JU4
Andrea:::Shablo, Geolier, Sfera Ebbasta - M' Manc:::https://www.youtube.com/watch?v=DRMg1gmE1jE
Andrea:::Rhove, Shiva, Ghali - Compliqu (Visual):::https://www.youtube.com/watch?v=mHT187wmQCw
Andrea:::ITALIANI:::https://www.youtube.com/watch?v=-N3qWTRMddw
Andrea:::Salmo, Dani Faiv, Nitro, Lazza - CHARLES MANSON (BUON NATALE2) (Official Video):::https://www.youtube.com/watch?v=oJi_tNVILM4
Andrea:::Kobra:::https://www.youtube.com/watch?v=VGf7jWoJFN0
Andrea:::Sfera Ebbasta & J Balvin - Baby (Official Video):::https://www.youtube.com/watch?v=1RpKdCl2uN4
Andrea:::Shiva - Vorrei feat. Lazza (Audio):::https://www.youtube.com/watch?v=_mkIGhbeMLM
Andrea:::Baila morena:::https://www.youtube.com/watch?v=RFaatpzqll0
Andrea:::Salmo - Il Soffitto viene giu [Prod. Low Kidd] - Bloody Vinyl Vol. 2:::https://www.youtube.com/watch?v=Bd_AVWG4KsM
Andrea:::Gu - Trap Phone ft. Capo Plaza:::https://www.youtube.com/watch?v=8kEP7HbF5pg
Andrea:::Sfera Ebbasta, Rvssian - Easy ft. Fivio Foreign:::https://www.youtube.com/watch?v=mfrmHko3Rj0
Andrea:::EMIS KILLA - PAROLE DI GHIACCIO (OFFICIAL VIDEO):::https://www.youtube.com/watch?v=vlfNL5cTfoE
Andrea:::Loredana cosa vuoi:::https://www.youtube.com/watch?v=ss3NhlKY86M
Andrea:::Massimo Pericolo, Crookers - 100K:::https://www.youtube.com/watch?v=e_JHptJaoMw
Andrea:::Marracash, Gu -  LOVE:::https://www.youtube.com/watch?v=RN4zhaQEa7I
Andrea:::Lazza - SOGNI D'ORO (Visual):::https://www.youtube.com/watch?v=Rehr2jN7t70
Andrea:::Siamo Nati Qua:::https://www.youtube.com/watch?v=INSme6z9O2I
Andrea:::occh1 purpl3:::https://www.youtube.com/watch?v=RWZ5OVZH9io
Andrea:::Gu - Brivido ft. Marracash:::https://www.youtube.com/watch?v=QHD5ScEAmFI
Andrea:::Rkomi - Milano Bachata ft. Marracash:::https://www.youtube.com/watch?v=BJniSaZ32EI
Andrea:::Sfera Ebbasta - 20 Collane (Visual):::https://www.youtube.com/watch?v=5o6p3KBr8ao
Andrea:::HO PAURA DI USCIRE 2 (prod. Mace):::https://www.youtube.com/watch?v=EwuZeuv0N5o
Andrea:::Gu - Chico ft. Rose Villain, Luch:::https://www.youtube.com/watch?v=ky1C17tPbsc
Andrea:::Rondo X SLATT feat. Capo Plaza (Official Video):::https://www.youtube.com/watch?v=gKJHErteBn8
Andrea:::DARK POLO GANG - DIEGO ARMANDO MARADONA (Prod. by Sick Luke):::https://www.youtube.com/watch?v=J8oS57MPUdQ
Andrea:::Marracash & Gu Pequeno - Nulla Accade:::https://www.youtube.com/watch?v=Mcg3WqgTnCE
Andrea:::Finesse - Gelosa ft. Shiva, Sfera Ebbasta, Gu (Official Video):::https://www.youtube.com/watch?v=oBS25dk7asc
Andrea:::L'ERBA VOGLIO (Geordie):::https://www.youtube.com/watch?v=cwFZRH35o14
Andrea:::La zone:::https://www.youtube.com/watch?v=JgF70Z0LsQE
Andrea:::Emis Killa - Serio (prod. by AVA) ft. Capo Plaza:::https://www.youtube.com/watch?v=G4F_3hyUOP0
Andrea:::Rondo X BLUE CHEESE feat. Lazza (Official Visual Video):::https://www.youtube.com/watch?v=DZVePjL9Yj8
Andrea:::Thoiry Remix (feat. Gemitaiz, Quentin40, Puritano) (Samba Trap Vol. 3 - Mitraglia Rec):::https://www.youtube.com/watch?v=hL558w2jPMs
Andrea:::Aitch feat Shiva - Taste (Make It Shake) [Remix]:::https://www.youtube.com/watch?v=JHs6tdf_5Z4
Andrea:::Shiva - Soldi Puliti (Official Video):::https://www.youtube.com/watch?v=FCMF7U7GB10
Andrea:::DARK POLO GANG - FIORI DEL MALE FT SFERA EBBASTA (Prod. by Sick Luke & Charlie Charles):::https://www.youtube.com/watch?v=xtEek6PEh64
Andrea:::Sfera Ebbasta - Gelosi (Visual):::https://www.youtube.com/watch?v=PZ9TplP9Kgo
Andrea:::Shiva - 3 Stick / Giuro su Dio Freestyle:::https://www.youtube.com/watch?v=bNrcMh6r3oQ
Andrea:::DAYTONA KK X SAPOBULLY - FERRO SPORCO (PROD. HAPPY TRILL):::https://www.youtube.com/watch?v=jvfXdvGIGqw
Andrea:::Geolier - NUN SE VER ft. Gu (Visual Video):::https://www.youtube.com/watch?v=_zekDxC0dfM
Andrea:::Massimo Pericolo, Crookers, Madame - AIRFORCE:::https://www.youtube.com/watch?v=8RdfAY2DniA
Andrea:::Lazza, Takagi & Ketra - PANICO (Visual):::https://www.youtube.com/watch?v=-11sPp2JzOA
Andrea:::G.bit - Yuppi (Official Video):::https://www.youtube.com/watch?v=UfTtY82FNX4
Andrea:::Emis Killa - CULT:::https://www.youtube.com/watch?v=8bjjoIJaaLU
Andrea:::08 - Marracash feat Gu Pequeno - S.E.N.I.C.A.R.:::https://www.youtube.com/watch?v=rmZZUSITEWE
Andrea:::L'ERBA VOGLIO (Geordie):::https://www.youtube.com/watch?v=cwFZRH35o14
Andrea:::Wayne - Egoisti ft. Fred De Palma:::https://www.youtube.com/watch?v=a6_Xt_Dcr0E
Andrea:::Massimo Pericolo, Crookers - BUGIE:::https://www.youtube.com/watch?v=b-LNhF4zN3M
Andrea:::Jake La Furia - Yeah (Visual Video) ft. Emis Killa:::https://www.youtube.com/watch?v=BhQk4oMdDqI
Andrea:::Aya Nakamura feat. Capo Plaza - Pookie Remix (Official Lyric Video):::https://www.youtube.com/watch?v=6hBA-Jv2xdA
Andrea:::stamm fort Luch ft Sfera Ebbasta testo:::https://www.youtube.com/watch?v=zxvKfCC7_sw
Andrea:::Rose Villain - Michelle Pfeiffer feat. Tony Effe (Visual Video):::https://www.youtube.com/watch?v=_AhadmSsbno
Andrea:::AVA, ANNA, Capo Plaza - VETRI NERI (Official Video):::https://www.youtube.com/watch?v=2jCjNv1bscw
Andrea:::Rkomi - Aeroplanini di Carta feat. IZI:::https://www.youtube.com/watch?v=SnKvCdI5Hag
Andrea:::Lazza - USCITO DI GALERA (Visual):::https://www.youtube.com/watch?v=U547ORZ3Oys
Andrea:::Diss Gacha - BALLAS RMX ft MamboLosco, Janga ODT - prod. Sala:::https://www.youtube.com/watch?v=wTaTjbSDAn4
Andrea:::Dicono Di Noi:::https://www.youtube.com/watch?v=DZHfFIDljOs
Andrea:::Marracash & Gu - Salvador Dal:::https://www.youtube.com/watch?v=rlaTV5MQTQY
Andrea:::CAPO PLAZA - Nisida (Prod. AVA):::https://www.youtube.com/watch?v=T8ch_CFjyMI
Andrea:::Rosa Chemical - britney ;-) ft. MamboLosco, Radical:::https://www.youtube.com/watch?v=76Zny0XaV6Q
Andrea:::Escort Lover Remix - Tony Effe feat. Sfera Ebbasta, Gu Pequeno:::https://www.youtube.com/watch?v=vK8d1ppn5bk
Andrea:::Cantante Italiana:::https://www.youtube.com/watch?v=_fMKY-k7oRg
Andrea:::Tedua - Wasabi Freestyle (Prod. Chris Nolan):::https://www.youtube.com/watch?v=50_Vo23OZQk
Andrea:::Dani Faiv - Sto xso (Visual Video) ft. ENRI:::https://www.youtube.com/watch?v=8qdqBi-PKGs
Andrea:::Veleno 8:::https://www.youtube.com/watch?v=059sh0cmm-0
Andrea:::thasup  Dimmi Che C (Official Video) ft. Tedua:::https://www.youtube.com/watch?v=uPeznfsvDW8
Andrea:::AVA - Holly & Benji (feat. Capo Plaza & Shiva):::https://www.youtube.com/watch?v=1AebVaTNFKs
Andrea:::Rondo feat. Central Cee X MOVIE (Official Video):::https://www.youtube.com/watch?v=Sj0CRhED9uY
Andrea:::Gu - Business:::https://www.youtube.com/watch?v=SS_GKWzHRTA
Andrea:::Purdi (RMX):::https://www.youtube.com/watch?v=qTt3T07xm3E
Andrea:::Shiva - Alleluia feat. Sfera Ebbasta (Official video):::https://www.youtube.com/watch?v=nZdNV5PnZws
Andrea:::CLUB DOGO FT GIULIANO PALMA - PES - VIDEO UFFICIALE (prod. Don Joe):::https://www.youtube.com/watch?v=dDxxZmIxNqc
Andrea:::X 1 MEX:::https://www.youtube.com/watch?v=hg59_ga_nbc
Andrea:::Sfera Ebbasta - Abracadabra (Visual) ft. Future:::https://www.youtube.com/watch?v=rNyAHfPkAgQ
Andrea:::BUD SPENCER (prod. Dade - Low Kidd - Salmo):::https://www.youtube.com/watch?v=MmZg62bTb04
Andrea:::Vaz T, Izi - Benedetta (Official Video):::https://www.youtube.com/watch?v=QnZXX0MzG4E
Andrea:::Giaime - FIORI feat. Lazza, Andry The Hitmaker:::https://www.youtube.com/watch?v=Mj_lWenGLWs
Andrea:::Gu, Rose Villain - Piango Sulla Lambo:::https://www.youtube.com/watch?v=FiZ8vphaXAQ
Andrea:::MACHETE SATELLITE:::https://www.youtube.com/watch?v=riSJm2Dn920
Andrea:::MONCLER:::https://www.youtube.com/watch?v=h1oHS9ehV4U
Andrea:::Tony Effe, Sfera Ebbasta - Mi Piace:::https://www.youtube.com/watch?v=gm-meghqKCo
Andrea:::Emis Killa - Vampiri (Official Video):::https://www.youtube.com/watch?v=8-vDcvm-Ays
Andrea:::Tony Effe, Side Baby - Luce A Roma (Visual):::https://www.youtube.com/watch?v=PwsQLmttDhU
Andrea:::Charlie Charles - Calipso (with Dardust) ft. Sfera Ebbasta, Mahmood, Fabri Fibra:::https://www.youtube.com/watch?v=kb5S2zXMhOo
Andrea:::Izi - Chic (Prod. Mace & Shablo) (Official Video):::https://www.youtube.com/watch?v=HFqstkhwFho
Andrea:::Vaz T - Over 2,5 ft. Tedua, Rkomi (Prod. Nebbia):::https://www.youtube.com/watch?v=l86rzpDZ54Y
Andrea:::VillaBanks, Tony Effe, Gu - Il Doc 2 (Visual):::https://www.youtube.com/watch?v=By7zMOeUT58
Andrea:::Medy feat. Capo Plaza - Arai (Visualizer):::https://www.youtube.com/watch?v=Aixw1N9JmyE
Andrea:::Jake La Furia - 20 Primavere (Visual Video):::https://www.youtube.com/watch?v=S8Jr__x3VLY
Andrea:::ALYX:::https://www.youtube.com/watch?v=AbDIvnz7Dfs
Andrea:::Marracash & Gu - Insta Lova:::https://www.youtube.com/watch?v=ie9XCiWDx-M
Andrea:::Capo Plaza - Capri Sun (Official Video):::https://www.youtube.com/watch?v=ihk0axKRgd4
Andrea:::stamm fort Luch ft Sfera Ebbasta testo:::https://www.youtube.com/watch?v=zxvKfCC7_sw
Andrea:::Sick Luke - AUDI (feat. Rhove, Capo Plaza) [Visual Album]:::https://www.youtube.com/watch?v=LUrrjA4tBNc
Andrea:::Rhove - Pel:::https://www.youtube.com/watch?v=yTNPut79-40
Andrea:::Gucci Ski Mask:::https://www.youtube.com/watch?v=V383YWUMMJ4
Andrea:::Jake La Furia - Indiani e cowboy (Official Video):::https://www.youtube.com/watch?v=eu0CjyM2EfI
Andrea:::Lazza - ZONDA:::https://www.youtube.com/watch?v=9J3iG6fV5B8
Andrea:::Sfera Ebbasta - Bottiglie Priv:::https://www.youtube.com/watch?v=HxOUtlUGFgo
Andrea:::Sfera Ebbasta - Hollywood (Visual) ft. Diplo:::https://www.youtube.com/watch?v=FVJPmzpI8U0
Andrea:::Candy testo VillaBanks (feat. Vale Pain, Linch & Bovychulo):::https://www.youtube.com/watch?v=P0CDQ6wU_DE
Andrea:::Rhove - Blanc Orange (Nanana) [prod. madfingerz]:::https://www.youtube.com/watch?v=YOlan2Q_Fk0
Andrea:::Charlie Charles - Bimbi ft. Izi, Rkomi, Sfera Ebbasta, Tedua, Ghali:::https://www.youtube.com/watch?v=l9WWa98S4OM
Andrea:::Izi - Wild Bandana (feat. Tedua & Vaz T) ft. Tedua, Vaz T:::https://www.youtube.com/watch?v=B3z388S9iPU
Andrea:::Ghali - Cacao feat. Dylan (Lyrics Video):::https://www.youtube.com/watch?v=gUKg8UCKnZQ
Andrea:::Sfera Ebbasta, Rvssian - Mamma Mia:::https://www.youtube.com/watch?v=W6fPYXJ-Zro
Andrea:::Taxi B - LONG NECK ft Rosa Chemical (prod Greg Willen):::https://www.youtube.com/watch?v=kkhYJGb5Zlw
Andrea:::GUE' PEQUENO FT. CANEDA - IL RAGAZZO D'ORO OFFICIAL VIDEO:::https://www.youtube.com/watch?v=VE4xHJaww4Q
Andrea:::ANNA, Lazza - 3 DI CUORI (Visual):::https://www.youtube.com/watch?v=3Ws0rj8DDic
Andrea:::DARK POLO GANG - CAVALLINI FT SFERA EBBASTA (Prod. Charlie Charles):::https://www.youtube.com/watch?v=pgdDLfvjAUA
Andrea:::MAMBOLOSCO FEAT. EDO FENDI - GUARDA COME FLEXO (Prod. NRDI):::https://www.youtube.com/watch?v=80eN3WOO5yc
Andrea:::Compare:::https://www.youtube.com/watch?v=EsvohX74eeE
Andrea:::thasup - s!r! (Visual Video) ft. Lazza, Sfera Ebbasta:::https://www.youtube.com/watch?v=yscyWJziBMc
Andrea:::MV Killa, Yung Snapp, Enzo Dong - SPLASH:::https://www.youtube.com/watch?v=04nnME7dTG0
Andrea:::ALYX:::https://www.youtube.com/watch?v=AbDIvnz7Dfs
Andrea:::Sfera Ebbasta, Luciano - Orange:::https://www.youtube.com/watch?v=NFKhU-JjAOc
Andrea:::MamboLosco, Nardi - Il Passo (Lyric Video) ft. Samurai Jay:::https://www.youtube.com/watch?v=3LmeL0nDeCg
Andrea:::DARK POLO GANG - SPORTSWEAR (Prod. by Sick Luke):::https://www.youtube.com/watch?v=b3u_Hv0r49w
Andrea:::Fabri Fibra, Lazza, Madame - Caos (Official Video):::https://www.youtube.com/watch?v=ZTKTfGFZ5Rc
Andrea:::2 TIRI:::https://www.youtube.com/watch?v=BnkN0QX-Hsg
Andrea:::Re Mida:::https://www.youtube.com/watch?v=1BZou6NUs5o
Andrea:::COME VA:::https://www.youtube.com/watch?v=srg7g7iis1w
Andrea:::Shiva - Mon Fre feat. Emis Killa (prod. Adam11):::https://www.youtube.com/watch?v=YZMVk7BF_-w
Andrea:::DARK POLO GANG - MAFIA (Prod. Sick Luke):::https://www.youtube.com/watch?v=4EmwKhrhCAo
Andrea:::WEEKEND:::https://www.youtube.com/watch?v=3tVy3IXH234
Andrea:::Sfera Ebbasta - Visiera A Becco (Prod. Charlie Charles):::https://www.youtube.com/watch?v=L6piiXrf-hA
Andrea:::GEMITAIZ & MADMAN feat. COEZ - "Instagrammo":::https://www.youtube.com/watch?v=YCIOKI0ZSTM
Andrea:::Candy testo VillaBanks (feat. Vale Pain, Linch & Bovychulo):::https://www.youtube.com/watch?v=P0CDQ6wU_DE
Andrea:::Hypno Carlito & Sfera Ebbasta - Fuckn It Up (Official Video):::https://www.youtube.com/watch?v=iak6veRhT7Q
Andrea:::Sfera Ebbasta, Rvssian - Italiano Anthem:::https://www.youtube.com/watch?v=vUYn-mWkHXQ
Andrea:::Sfera Ebbasta - Tran Tran (Prod. Charlie Charles):::https://www.youtube.com/watch?v=tU_KbOs8w2o
Andrea:::Fernando:::https://www.youtube.com/watch?v=vJhI0elOnFc
Andrea:::Emis Killa, Lazza - Morto di fame (Official Video):::https://www.youtube.com/watch?v=VXZ0OsgR2-o
Andrea:::SLIME:::https://www.youtube.com/watch?v=f8QTUXC_ZqQ
Andrea:::Dark Polo Gang, Tony Effe - AMIRI BOYS (prod Sick Luke) ft. Capo Plaza:::https://www.youtube.com/watch?v=AOxMrKX9Nxk
Andrea:::MamboLosco - SKUSKU ft. Pyrex (Lyric video):::https://www.youtube.com/watch?v=spsfSVWNmgE
Andrea:::Marracash & Gu - Insta Lova:::https://www.youtube.com/watch?v=ie9XCiWDx-M
Andrea:::SAINT LAURENT - SUMMER OF 21:::https://www.youtube.com/watch?v=Dd5vHr-RJPg
Andrea:::Giaime - MI AMI O NO feat Capo Plaza, Andry The Hitmaker:::https://www.youtube.com/watch?v=44MiFgctqbY
Andrea:::YOSHI (prod. Strage):::https://www.youtube.com/watch?v=ZHKO8pxU4mE
Andrea:::Rhove - Cancelo:::https://www.youtube.com/watch?v=7bdStitBuzk
Andrea:::DrefGold - Booster (prod. Daves The Kid):::https://www.youtube.com/watch?v=70bbWnkdSEk
Andrea:::Sfera Ebbasta, Rvssian - Italiano Anthem:::https://www.youtube.com/watch?v=vUYn-mWkHXQ
Andrea:::GIRANO:::https://www.youtube.com/watch?v=jmFCzB_nK7I
Andrea:::Gu - Squalo:::https://www.youtube.com/watch?v=0RBGeASpd58
Andrea:::ANNA - ADVICE (Visual) feat. MamboLosco:::https://www.youtube.com/watch?v=Bj5AiAaTs18
Andrea:::Paky - La Bellavita feat. JuL (Visual):::https://www.youtube.com/watch?v=sCtfywzUpbY
Andrea:::Sfera Ebbasta - Mercedes Nero ft Tedua, Izi (Prod. Charlie Charles):::https://www.youtube.com/watch?v=y2eejWX4ZGw
Andrea:::Gu, ANNA, Sfera Ebbasta - Cookies N' Cream:::https://www.youtube.com/watch?v=z_D_SP5YGh0
Andrea:::Sfera Ebbasta - Mercedes Nero ft Tedua, Izi (Prod. Charlie Charles):::https://www.youtube.com/watch?v=y2eejWX4ZGw
Andrea:::Ca$hmere:::https://www.youtube.com/watch?v=qKbXZAM9vtA
Andrea:::Million Dollar:::https://www.youtube.com/watch?v=n-T-g446TSQ
Andrea:::Gu, ANNA, Sfera Ebbasta - Cookies N' Cream:::https://www.youtube.com/watch?v=z_D_SP5YGh0
Andrea:::Wayne - Glock (Prod. by Andry The Hitmaker) ft. DrefGold, Giaime:::https://www.youtube.com/watch?v=sEIbgPZ1VyU
Andrea:::Marracash - A volte esagero (feat.Salmo & Coez):::https://www.youtube.com/watch?v=hphD96nqP6g
Andrea:::Gu - Lamborghini (RMX) ft. Sfera Ebbasta, Elettra Lamborghini:::https://www.youtube.com/watch?v=DkXgmrGlpjQ
Andrea:::Sfera Ebbasta, 7ARI, Steve Aoki - Salam Alaikum (Visual):::https://www.youtube.com/watch?v=VxLPlGpCtyo
Andrea:::Guersace:::https://www.youtube.com/watch?v=uAt5FPr0C2E
Andrea:::FSK SATELLITE, Chief Keef, Tadoe - HO FATTO (Prod. By Greg Willen):::https://www.youtube.com/watch?v=E8jht4cBkMI
Andrea:::Sfera Ebbasta - Uber (Visual):::https://www.youtube.com/watch?v=bREwjLV8ip8
Andrea:::Slings - ONLYFANS feat MamboLosco (prod. Finesse, Nardi):::https://www.youtube.com/watch?v=-PmWb-fj3tA
Andrea:::Sick Luke - DREAM TEAM (feat. Pyrex, Capo Plaza, Tedua, Shiva) [Visual Album]:::https://www.youtube.com/watch?v=eCVeHstK9lI
Andrea:::RONDO X TOKYO (Official Video):::https://www.youtube.com/watch?v=VwUZU7pUIHQ
Andrea:::Baby Gang  Ma Chrie (feat. Capo Plaza) [Official Video]:::https://www.youtube.com/watch?v=nQ9CA6eVDJw
Andrea:::Emis Killa - COL CUORE IN GOLA (lords of dogtown):::https://www.youtube.com/watch?v=u2rciDaYxiQ
Andrea:::Emis Killa - A cena dai tuoi (Official video) ft. J-AX:::https://www.youtube.com/watch?v=Dq9IAzMFyzg
Andrea:::Fred De Palma - MALA (feat. Lazza, Tony Effe) [Official Visual Art Video]:::https://www.youtube.com/watch?v=kVZZ0LYUN1k
Andrea:::SALMO - "Killer Game" feat. GEMITAIZ & MADMAN (prod. Bruce Gil):::https://www.youtube.com/watch?v=IPi9dBjYHWc
Andrea:::ANNA - ADVICE (Visual) feat. MamboLosco:::https://www.youtube.com/watch?v=Bj5AiAaTs18
Andrea:::BLUEFACE - Disme, Vaz T, Izi, Tedua (VIDEO):::https://www.youtube.com/watch?v=5QxxptRaR5s
Andrea:::Salmo - CRIMINALE (Video Animation):::https://www.youtube.com/watch?v=VTLM3ks2JW4
Andrea:::G.bit - Cavolo ft. Samuel Heron (Official video):::https://www.youtube.com/watch?v=EL05GOiy1uM
Andrea:::CAPO PLAZA - Giovane Fuoriclasse (prod. AVA):::https://www.youtube.com/watch?v=4eTlrAUNxuY
Andrea:::Tedua - Lo-fi For U (Visual Video):::https://www.youtube.com/watch?v=_CXHKe2pLC4
Andrea:::Marracash & Gu - Scooteroni RMX ft. Sfera Ebbasta:::https://www.youtube.com/watch?v=j3FXV0Ma3QA
Andrea:::Rhove, Shiva, Ghali - Compliqu (Visual):::https://www.youtube.com/watch?v=mHT187wmQCw
Andrea:::Gu - Veleno:::https://www.youtube.com/watch?v=dlVreMIaQao
Andrea:::Sapobully - Too Famous:::https://www.youtube.com/watch?v=OYmnP1DNsWM
Andrea:::Rvssian x Sfera Ebbasta - Pablo:::https://www.youtube.com/watch?v=0-zeLnvZ8cY
Andrea:::MamboLosco, Nardi, Finesse - Pochi Pochi:::https://www.youtube.com/watch?v=XOz4gfUwcfo
Andrea:::Sick Luke - SOLITE PARE (feat. tha Supreme, Sfera Ebbasta) [Lyrics Video]:::https://www.youtube.com/watch?v=Y4IyWe4qNGg
Andrea:::Wayne - Minkia (Visual):::https://www.youtube.com/watch?v=y9Kny7hhaxM
Andrea:::DARK POLO GANG - SPORTSWEAR (Prod. by Sick Luke):::https://www.youtube.com/watch?v=b3u_Hv0r49w
Andrea:::Gu - Mollami Pt.2 (Visual):::https://www.youtube.com/watch?v=ab4PdCyqbTI
Andrea:::MACE, BLANCO, Salmo - LA CANZONE NOSTRA:::https://www.youtube.com/watch?v=gsqY9c8c3E4
Andrea:::DrefGold, Sfera Ebbasta - ELEGANTE (Prod. Daves The Kid & Charlie Charles):::https://www.youtube.com/watch?v=JPpU_TunSgM
Andrea:::Salmo - LA CHIAVE (Video Animation):::https://www.youtube.com/watch?v=NhaEtt33OUM
Andrea:::Rondo x NEW YORK  (Prod. NKO ):::https://www.youtube.com/watch?v=q_AZFsZ_Ku0
